,County0,MICH-01_2011-2015,MICH-01_2012-2016,MICH-01_2013-2017,MICH-01_2014-2018,MICH-01_2015-2019,MICH-01_MetGoal,MICH-02_2011-2015,MICH-02_2012-2016,MICH-02_2013-2017,MICH-02_2014-2018,MICH-02_2015-2019,MICH-02_MetGoal,MICH-03_2011-2015,MICH-03_2012-2016,MICH-03_2013-2017,MICH-03_2014-2018,MICH-03_2015-2019,MICH-03_MetGoal,MICH-06_2011-2015,MICH-06_2012-2016,MICH-06_2013-2017,MICH-06_2014-2018,MICH-06_2015-2019,MICH-06_MetGoal,MICH-07_2011-2015,MICH-07_2012-2016,MICH-07_2013-2017,MICH-07_2014-2018,MICH-07_2015-2019,MICH-07_MetGoal,MICH-08_2011-2015,MICH-08_2012-2016,MICH-08_2013-2017,MICH-08_2014-2018,MICH-08_2015-2019,MICH-08_MetGoal,MICH-10_2011-2015,MICH-10_2012-2016,MICH-10_2013-2017,MICH-10_2014-2018,MICH-10_2015-2019,MICH-10_MetGoal,MICH-13_2011-2015,MICH-13_2012-2016,MICH-13_2013-2017,MICH-13_2014-2018,MICH-13_2015-2019,MICH-13_MetGoal
54,Schuylkill,8.0,7.8,7.8,7.7,6.7,No,8.0,8.6,7.9,7.7,8.5,No,46.1,43.3,36.9,29.7,29.9,No,24.2,32.8,31.6,32.1,23.9,No,8.9,8.7,10.0,10.4,10.7,No,71.1,75.9,74.2,75.6,72.9,No,75.5,76.0,76.1,77.0,77.0,No,43.0,42.8,42.4,39.3,40.6,No
55,Snyder,9.2,8.6,7.9,10.6,10.0,No,5.7,6.5,4.9,DSU,DSU,DSU,DSU,DSU,DSU,DSU,25.1,No,32.1,22.6,30.1,25.0,20.6,Yes,9.4,8.9,8.1,7.0,7.4,Yes,59.7,66.1,63.1,63.4,63.6,No,84.3,84.8,85.6,86.1,87.2,No,44.5,43.3,40.4,38.7,42.9,No
56,Somerset,6.4,7.5,6.7,6.8,6.7,No,5.6,5.0,4.4,4.3,4.4,Yes,21.5,25.3,30.8,27.8,28.2,No,22.1,18.5,26.6,23.9,25.2,No,8.5,8.1,8.0,8.3,9.6,No,81.3,77.0,69.5,71.2,72.8,No,78.7,80.0,81.1,81.8,82.8,No,43.4,42.4,41.1,39.3,37.2,No
57,Sullivan,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,5.3,8.4,6.6,6.5,7.6,Yes,67.5,70.8,83.3,80.5,83.3,Yes,70.2,73.2,73.2,75.9,77.2,No,51.2,29.2,39.6,47.6,25.9,No
58,Susquehanna,DSU,DSU,DSU,DSU,DSU,DSU,6.3,5.3,5.3,5.4,5.9,No,30.2,28.1,DSU,DSU,30.3,No,25.6,23.3,27.6,29.6,22.4,Yes,9.4,9.1,8.9,9.9,9.5,No,71.1,75.1,76.8,72.9,75.8,No,75.2,75.5,76.4,77.2,78.0,No,42.2,42.7,39.4,40.5,39.3,No
59,Tioga,DSU,DSU,DSU,DSU,DSU,DSU,DSU,4.5,4.6,DSU,DSU,DSU,36.3,28.8,DSU,29.9,27.7,No,27.6,28.8,25.9,27.0,25.2,No,5.8,6.3,6.7,7.4,8.1,Yes,87.7,81.2,84.0,80.3,79.2,No,75.8,77.1,78.3,78.5,79.9,No,41.3,37.6,38.5,34.8,35.2,No
60,Union,5.4,4.9,DSU,4.9,DSU,DSU,5.5,5.4,4.9,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,27.0,23.1,34.3,27.3,23.3,Yes,6.1,6.7,7.2,6.4,6.9,Yes,61.6,68.7,68.1,65.4,69.0,No,88.5,88.7,89.2,89.9,90.3,No,46.8,47.1,46.3,49.9,47.8,Yes
61,Venango,6.1,6.2,6.0,6.6,6.5,No,5.8,6.6,8.3,7.4,9.8,No,33.8,21.7,24.3,24.8,29.8,No,28.8,28.8,25.2,31.6,22.3,Yes,8.4,8.7,9.2,8.6,8.3,Yes,78.2,80.9,69.2,74.5,72.2,No,69.0,69.4,69.9,70.2,70.8,No,36.1,34.5,31.2,33.3,30.7,No
62,Warren,6.4,DSU,4.9,5.4,5.9,No,6.0,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,29.3,28.8,36.8,29.9,28.9,No,11.6,11.3,10.4,11.3,10.1,No,82.0,80.7,82.5,75.6,79.1,No,73.6,74.3,75.0,76.2,77.7,No,37.5,40.6,37.2,34.3,35.4,No
63,Washington,5.0,5.3,6.1,6.4,6.2,No,4.5,4.0,4.8,4.7,5.0,Yes,18.7,21.7,25.8,27.7,26.1,No,24.8,27.5,30.1,28.7,28.6,No,9.1,9.9,9.7,9.3,9.1,Yes,74.0,75.4,71.3,74.4,77.4,No,79.3,79.9,80.8,81.5,82.8,No,41.3,44.5,41.6,40.3,38.0,No
64,Wayne,5.4,DSU,5.4,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,29.6,30.1,19.9,28.7,24.3,No,10.0,9.1,9.5,8.5,8.8,Yes,80.6,81.3,78.9,80.3,85.9,Yes,78.5,79.4,80.7,82.0,83.4,No,43.7,43.6,42.1,41.9,40.7,No
65,Westmoreland,5.4,5.0,5.0,5.7,5.5,Yes,4.6,4.7,4.4,4.8,4.8,Yes,19.4,18.4,23.2,23.9,26.4,No,23.1,24.4,26.2,25.4,27.3,No,8.5,8.5,8.7,9.0,9.1,Yes,76.7,86.4,88.1,88.9,88.6,Yes,80.7,81.7,82.7,83.6,84.5,No,39.3,37.4,39.0,37.9,32.7,No
66,Wyoming,7.9,8.1,9.5,9.7,12.3,No,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,DSU,23.6,22.3,20.7,31.0,23.4,Yes,10.2,11.1,10.5,9.2,9.7,No,80.2,81.9,81.4,81.1,83.8,Yes,74.5,74.7,75.4,76.3,76.9,No,40.9,44.4,46.0,41.7,39.2,No
67,York,4.8,4.9,4.7,4.3,4.5,Yes,5.4,5.5,5.5,5.6,5.4,No,18.7,20.7,24.4,27.3,28.2,No,25.6,27.6,28.3,27.3,25.0,No,9.8,9.7,9.9,9.9,10.0,No,74.2,77.7,79.6,78.6,79.1,No,85.0,85.9,86.7,87.6,88.6,No,42.4,42.4,41.1,40.0,38.3,No
