county_name,pop_change_2010,perc_under_18,perc_nosmoke_moms,fert_rate,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_rate_35_39,birth_rate_40_44,clam_per_100000,gono_per_100000,perc_hiv_tested,perc_no_insur,perc_obese,perc_routine_checkup,beds_per_1000,adm_per_1000
Somerset,-5.5,17.7,26.6,7.3,69.5,8.9,82.8,62.3,18.4,91.6,129.1,105.0,34.4,6.9,802.2,126.2,15.3,21.0
Sullivan,-5.6,10.4,32.6,6.9,76.3,8.2,77.2,58.3,25.0,74.1,124.6,88.5,29.1,.,843.4,532.2,.,21.0
Susquehanna,-7.0,18.4,31.8,7.2,64.2,9.1,78.0,61.4,19.3,95.0,129.8,92.5,33.4,5.2,763.9,100.9,10.7,19.0
Tioga,-3.3,19.6,33.1,5.7,77.9,7.4,79.9,58.5,19.6,89.9,116.7,83.1,34.5,4.8,743.8,171.1,12.3,21.0
Union,-0.1,17.7,27.6,5.5,67.8,7.2,90.3,51.6,9.3,49.0,115.4,108.3,48.8,10.6,577.9,173.5,23.1,15.0
Venango,-7.8,18.7,30.2,8.1,75.7,8.7,70.8,60.7,25.5,102.9,123.9,79.5,34.7,5.7,797.5,279.8,29.9,26.0
Warren,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0
Washington,-0.5,19.4,29.2,7.6,80.0,9.5,82.8,56.2,11.9,58.2,107.7,112.5,45.3,7.3,837.4,276.6,40.5,20.0
Wayne,-2.8,16.2,32.3,7.4,79.0,9.2,83.4,56.1,12.9,63.4,109.6,99.9,48.2,10.7,791.1,148.2,10.4,19.0
Westmoreland,-4.5,18.1,28.5,7.3,82.9,8.8,84.5,53.9,11.1,55.4,106.7,104.8,43.5,7.1,801.1,214.3,41.1,20.0
Wyoming,-5.2,19.4,32.4,7.4,71.2,10.6,76.9,56.8,16.3,83.4,108.6,95.1,37.2,6.0,885.1,155.2,.,24.0
York,3.2,21.9,30.1,8.4,74.6,9.9,88.6,60.3,17.9,80.0,115.2,99.2,41.3,7.8,741.6,371.1,89.0,16.0
Pennsylvania,0.8,20.6,30.1,8.3,73.4,9.5,89.0,57.6,15.1,62.0,95.5,103.8,51.1,10.0,764.2,462.1,122.9,18.0
