,county_name,population,pop_change_2010,perc_under_18,perc_csec,perc_prenat_1tri,perc_non_smoke,fert_15_44,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,birth_rate_40_44,all_cause_death,chlam_per_100000,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,perc_routine_checkup,beds_per_1000,inpatient_occupancy_rate,goals_met,population_White,population_Black,population_Native,population_Asian,population_NativeHawaiian_PacificIslander,population_OtherRace,ADI_STATERNK_INT_mean
44,Cumberland,253370.0,7.6,20.2,27.7,71.6,90.1,56.2,9.1,53.4,103.7,111.7,50.0,8.2,689.4,300.3,55.4,18.0,39.0,16.0,30.0,85.0,1.5,50.8,1,0.8682436865523864,0.0406899760226174,0.0010696377943989,0.0464954450925892,0.0001590539471225,0.0117819211331003,4.433333333333334
45,Armstrong,64735.0,-6.1,19.0,33.7,75.0,79.6,57.8,19.8,89.6,120.1,88.7,32.1,4.7,824.3,179.9,36.3,21.0,37.0,8.0,39.0,89.0,2.2,31.3,0,0.9733000795642328,0.0086602607258706,0.0002448130240528,0.0030754636146643,0.0,0.0013311708182875,7.484848484848484
46,Beaver,163929.0,-3.9,19.1,33.7,79.6,83.5,58.5,15.4,69.6,108.4,103.1,40.6,7.0,837.6,343.8,101.3,21.0,40.0,8.0,34.0,86.0,1.7,48.2,1,0.8972939841365206,0.0592847476347394,0.0009102991242922,0.0046061135689187,0.0003095017022593,0.0038475309653418,6.663934426229508
47,Bedford,47888.0,-3.8,19.2,27.5,77.9,83.3,62.2,18.0,103.3,134.2,95.4,32.3,6.6,752.0,136.3,13.8,19.0,37.0,7.0,34.0,88.0,0.5,42.9,1,0.9733770818623584,0.0103210532873696,0.0012875358225692,0.0023881712837978,0.0,0.0013498359430161,6.947368421052632
48,Clearfield,79255.0,-2.9,18.0,27.2,78.0,76.8,60.2,21.7,92.9,122.6,90.2,35.7,4.2,801.6,177.9,21.4,27.0,35.0,10.0,41.0,86.0,3.3,58.5,2,0.9426421362595324,0.0275337880351345,0.0017365917499307,0.0050587672715375,0.0001132559836911,0.0041149674074446,8.048387096774194
49,Somerset,73447.0,-5.5,17.7,26.6,69.5,82.8,62.3,18.4,91.6,129.1,105.0,34.4,6.9,802.2,126.2,15.3,21.0,37.0,8.0,39.0,89.0,2.3,25.6,1,0.9482151562753912,0.0259736742321651,0.0009073181301121,0.0036698987053789,8.12523698607876e-05,0.0047668056984995,7.775862068965517
50,Lawrence,85512.0,-6.1,19.8,30.4,70.3,76.1,61.8,20.9,83.4,126.7,101.3,38.0,6.3,860.8,372.5,102.4,26.0,33.0,8.0,35.0,87.0,1.1,70.1,0,0.9235849932674004,0.0361470956957793,0.0005339648047546,0.0037493615638204,0.0,0.0023796257603194,7.1866666666666665
51,Chester,524989.0,5.2,22.5,28.0,75.2,95.5,56.2,5.7,33.8,90.3,140.0,70.9,12.0,629.1,251.7,32.9,11.0,37.0,6.0,22.0,87.0,1.5,62.5,3,0.8334840415341584,0.0567090693130005,0.0007414077167707,0.0572742250660944,0.0002222307368098,0.0155254990612667,1.9698275862068968
52,Crawford,84629.0,-4.7,20.5,28.1,65.1,78.7,61.5,19.0,90.7,125.9,91.7,36.9,8.3,855.7,224.0,31.3,26.0,33.0,8.0,35.0,87.0,2.7,40.9,1,0.9516891177092884,0.0149869525354397,0.0003996520676117,0.0051837224063756,0.0002938618144203,0.0049603874274161,7.461538461538462
53,Fayette,129274.0,-5.4,18.9,32.1,79.5,72.3,61.1,27.9,105.1,113.5,83.5,34.0,5.0,914.8,336.4,54.4,20.0,32.0,11.0,39.0,87.0,1.5,49.9,1,0.921084332727175,0.040689332381895,0.0002838969070582,0.0039285193625363,0.0009054009468345,0.0046190794067321,7.752688172043011
54,Union,44923.0,-0.1,17.7,27.6,67.8,90.3,51.6,9.3,49.0,115.4,108.3,48.8,10.6,577.9,173.5,23.1,15.0,31.0,13.0,34.0,83.0,2.9,36.0,1,0.8799491423345452,0.0663603310209453,0.003122839106868,0.0183801387432803,8.92239744819433e-05,0.0151011576810689,4.666666666666667
55,Westmoreland,348899.0,-4.5,18.1,28.5,82.9,84.5,53.9,11.1,55.4,106.7,104.8,43.5,7.1,801.1,214.3,41.1,20.0,35.0,7.0,32.0,90.0,1.3,59.5,3,0.9430574643164672,0.02414733036422,0.0005616984392196,0.0103158627060748,8.553783338370561e-05,0.0022895626735705,6.164102564102564
