county_name,population,pop_change_2010,perc_under_18,perc_csec,perc_lowbirth,perc_prenat_1tri,perc_preterm,perc_non_smoke,fert_15_44,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,birth_rate_40_44,all_cause_death,chlam_per_100000,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,perc_routine_checkup,beds_per_1000,inpatient_occupancy_rate,admission_per_1000,goals_met,population_White,population_Black,population_Native,population_Asian,population_NativeHawaiian_PacificIslander,population_OtherRace,population_Multiracial,perc_poverty,perc_below_poverty,perc_unemployed,per_capita_income,perc_educated,perc_foodstamp,perc_disability,perc_vacant_housing,perc_rented,perc_pre200_houses,perc_ownHouse_occupied,perc_age_under5,perc_age_5_17,perc_age_18_24,perc_age_25_39,perc_age_40_64,perc_age_over65,adi_staterank_mean
Fayette,129274.0,-5.4,18.9,32.1,8.9,79.5,10.2,72.3,61.1,27.9,105.1,113.5,83.5,34.0,5.0,914.8,336.4,54.4,20.0,32.0,11.0,39.0,87.0,1.5,49.9,63.7,1,0.921084332727175,0.040689332381895,0.0002838969070582,0.0039285193625363,0.0009054009468345,0.0046190794067321,0.0284894382677684,0.9635230838876996,0.159128052850862,0.831902339463972,28197.22448979592,0.7344719901173185,0.0943765393734318,0.1529590497893792,2.0805342037957145e-06,0.2656741227911683,1.4507515408081776e-05,0.6368223127546224,0.0512011908324317,0.1413576410468888,0.0729691780033604,0.1739367293541728,0.3496382232657349,0.1780647438405878,7.752688172043011
Forest,7247.0,-6.1,10.2,36.8,9.0,78.1,8.2,79.1,50.6,.,76.4,105.7,82.3,.,.,803.9,132.9,.,27.0,35.0,10.0,41.0,86.0,0.0,.,0.0,1,0.7386648122392211,0.2162726008344923,0.0013908205841446,0.0009735744089012,0.0,0.017385257301808,0.0253129346314325,0.5439499304589708,0.0908205841446453,0.9675938803894296,20062.6,0.8731571627260083,0.0492350486787204,0.1229485396383866,8.664686253354296e-05,0.1684655091506335,0.000103581788018,0.2031877078316706,0.0094575799721835,0.0429763560500694,0.0744089012517383,0.2904033379694016,0.349791376912378,0.20904033379694,8.5
Franklin,155027.0,3.6,22.1,26.6,7.1,77.5,9.7,88.0,65.7,20.7,100.0,127.1,97.2,42.4,8.4,718.1,285.5,52.1,17.0,39.0,14.0,32.0,83.0,2.2,42.4,86.3,1,0.9160008776798276,0.0407669372846134,0.0019747796120138,0.0074409179498431,0.0001355240910205,0.0096867457438981,0.0239942176387831,0.9860732862656014,0.0881100197477961,0.8041031531938511,31545.88,0.7004788517882726,0.040586238496586,0.1220942989532377,9.677435301031773e-07,0.2909748932924355,1.2224602774324098e-05,0.663870654023827,0.0593918195077248,0.1638808936845773,0.0762484350194249,0.1798727364250033,0.3258902642074418,0.1736321747099136,5.180327868852459
Fulton,14530.0,-2.1,19.5,31.4,8.5,77.3,10.8,83.4,59.8,23.6,103.4,122.8,87.3,27.4,6.9,804.1,158.1,22.9,17.0,39.0,14.0,32.0,83.0,1.4,30.2,39.8,0,0.961841015732818,0.0135937068727573,0.0018630968810378,0.0044162296439414,0.0,0.006486337289539,0.0117996135799061,0.9948937344741926,0.1066105437482749,0.8235578250069003,28774.81818181818,0.7283328733094121,0.0558929064311344,0.1368341153739994,2.325961624736997e-05,0.2175496688741721,0.0001162034530177,0.6501582060806164,0.0489925476124758,0.149875793541264,0.0727987855368478,0.1589152635937068,0.3564725365719015,0.1872757383383932,5.727272727272728
Greene,36233.0,-6.3,19.5,28.7,10.2,75.7,11.1,72.7,59.1,18.0,102.5,120.9,83.0,29.9,4.0,915.3,345.2,21.0,20.0,32.0,11.0,39.0,87.0,0.6,45.7,43.3,1,0.9329843218945292,0.0320414428242517,0.0,0.0029876110075649,0.0001918649270913,0.0041936191207104,0.0276011402258524,0.9022859335599168,0.1165990571209297,0.8302543580747725,29146.07894736842,0.7147242626904945,0.0726893980923144,0.1497368709571319,8.104942137863509e-06,0.2476039440115838,5.3494747254068464e-05,0.6500268064573778,0.0519953952417498,0.1421170924240762,0.0911632496436793,0.1812301282754083,0.3431093081898914,0.1663468917881809,6.7407407407407405
Huntingdon,45144.0,-1.7,17.6,32.8,6.8,75.2,8.8,78.3,54.5,15.8,79.5,121.0,82.3,29.8,7.3,744.9,190.0,44.2,19.0,37.0,7.0,34.0,88.0,1.3,48.4,48.0,1,0.912747812603832,0.0554435707165799,0.0015062576143537,0.0062022372355742,8.86033890796323e-05,0.0052719016502381,0.0187396167903422,0.8772621552774393,0.093232916159043,0.8422416657437147,26919.815789473683,0.7249972311440913,0.0472477572267139,0.1211651345663971,1.15156043728467e-05,0.2295726801358841,3.735795258548249e-05,0.5687948255379065,0.0445896555543249,0.1361834090153947,0.0942297042861887,0.1759441798648796,0.3400155055930886,0.1834090153948386,6.6875
Indiana,84073.0,-5.4,17.6,24.0,7.3,65.7,7.6,85.0,48.0,9.5,41.8,128.1,98.0,38.7,7.6,791.7,390.5,34.7,21.0,37.0,8.0,39.0,89.0,2.0,42.1,73.1,3,0.940838000071037,0.0226016125404023,0.0006511727028402,0.0092821708913962,0.000165753051632,0.004558208919882,0.0219030818228099,0.9351431987971064,0.1419911677302487,0.8413151320696637,27346.08450704225,0.6592235653481406,0.0582148396339225,0.1234505049548323,3.377315797698364e-06,0.299364938709201,2.295048569343602e-05,0.6083767216394368,0.0472869777298935,0.1326616388241004,0.1608278180978651,0.1573706830209676,0.3089163302274366,0.1664397428459797,7.158730158730159
Jefferson,43425.0,-3.9,21.1,26.4,8.0,71.8,8.5,79.9,66.6,20.2,118.1,131.2,90.6,35.2,5.1,826.1,145.2,16.0,27.0,35.0,10.0,41.0,86.0,1.9,41.5,46.4,3,0.9753270599036034,0.004728023869635,0.0005278861602019,0.0025935276566444,0.0,0.0026394308010098,0.0141840716089052,0.9794583428964884,0.1362175809042919,0.8113151250860684,27178.11363636364,0.7128758319944917,0.0628873077805829,0.1306862520082625,8.39044555014364e-06,0.2519021739130435,3.968344198992556e-05,0.6053742633476998,0.0567592380078035,0.1563231581363321,0.0740417718613723,0.1692678448473719,0.3344273582740416,0.1822125315584114,7.727272727272727
Juniata,24763.0,0.5,22.1,21.9,6.8,65.7,7.1,89.1,68.0,14.8,105.2,133.7,106.9,46.6,10.2,707.3,135.2,16.2,19.0,37.0,7.0,34.0,88.0,0.0,.,0.0,1,0.9594435657217018,0.0126130510605507,0.0001216693028348,0.0030417325708723,0.0,0.0064890294845277,0.0182909518595125,0.9877114004136756,0.0923875572859634,0.8051263332927769,26759.68421052632,0.703694691162753,0.0350002027821713,0.1015127549985805,1.4812178615871584e-05,0.261407249466951,7.786455322472293e-05,0.6154392822243937,0.0572656852009571,0.1673358478322585,0.0717037758040312,0.1722026199456542,0.32935880277406,0.1791783266415214,6.0
Lackawanna,209674.0,-2.2,20.6,35.2,8.5,75.1,11.3,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,131.2,0,0.8922593047268298,0.0281687460149789,0.0006709110115054,0.0295962162522244,0.0005234057536567,0.0108582902713145,0.0379231259694902,0.9631094108354508,0.1333019289881139,0.821385407447588,29911.05,0.7077873259675869,0.0693084382523957,0.1263453906986039,1.2692362877512448e-06,0.358127129945177,9.123791219654011e-06,0.559934775692014,0.0526117947107469,0.1513974933622633,0.0882033859594025,0.1839723641762068,0.3243593037751826,0.1754456086257266,6.412121212121212
