county,population_White,population_Black,population_Asian,population_Native,population_NativeHawaiian_PacificIslander,population_OtherRace,perc_poverty,perc_below_poverty,perc_unemployed,per_capita_income,perc_educated,perc_foodstamp,perc_disability,perc_vacant_housing,perc_rented,perc_pre200_houses,perc_ownHouse_occupied,perc_age_under5,perc_age_5_17,perc_age_18_24,perc_age_25_39,perc_age_40_64,perc_age_over65,adi_staterank_mean
Cambria,93.14646952002492,3.57720859198699,0.45360950072562006,0.03039259636352,0.03267204109079,0.42017764472574004,0.951280668029268,0.13825592085767907,0.8310931457097052,27096.015625,0.717842733510117,0.07556359270881613,0.14333148445038787,2.0934556806100163e-06,0.2525600266980485,1.4312877917885507e-05,0.6440549703353917,0.0492360061089118,0.14308834367947948,0.0898329167014913,0.1581782677739702,0.334508513726056,0.1969972114792834,7.967213114754099
Cameron,95.01329787234044,0.15514184397163,0.24379432624112998,0.15514184397163,0.0,0.0,0.9913563829787234,0.18085106382978725,0.8599290780141844,24547.8,0.7752659574468085,0.12145390070921985,0.1702127659574468,0.00010679203466187662,0.3286203941730934,0.00021123586970881706,0.3540442837776774,0.0434397163120567,0.11879432624113459,0.0624999999999999,0.1491578014184396,0.3526152482269501,0.22783687943262398,9.0
Carbon,94.19829904321179,2.33881558376586,0.63160527796885,0.26577449815521004,0.01094365580639,0.5299856169095101,0.9808017009567882,0.11639359639797386,0.8317491088737414,30846.26785714286,0.7419016947032706,0.050356450503408166,0.1341535863923457,6.8238242164601375e-06,0.2505933320776041,2.4412165139954645e-05,0.5713588189677457,0.0467606778813082,0.1448783690826089,0.066459258332812,0.1648583578262772,0.36758176474266757,0.1760834219248325,6.583333333333333
Centre,87.27197653207119,3.44438692501109,6.25030813982152,0.06470936252033,0.01479071143321,0.4135236404871,0.8852425676675048,0.1576443326924025,0.8676231326726815,34747.46788990826,0.6149115022432579,0.02287013755361633,0.0708475077651235,1.7081314942055411e-06,0.375496800269451,1.2078771026846316e-05,0.5529659121410039,0.0387516639550362,0.11105975447419009,0.2352770793275154,0.1880515702805304,0.2844870088251243,0.1212591825666811,3.980769230769231
Chester,83.34840415341584,5.67090693130005,5.7274225066094395,0.07414077167707,0.02222307368098,1.55254990612667,0.9754684087512931,0.061092379018353196,0.8000842944174106,53699.122507122505,0.6826161921912717,0.018776581478217556,0.07216368443235373,2.1539021995035916e-07,0.250130862239636,3.915560228490559e-06,0.7172892447264705,0.0552913904747308,0.1718226751982834,0.0902697421357138,0.1756082608529061,0.3434422774818956,0.1384497490325297,1.9698275862068968
Clarion,96.0758936660368,1.4909533300546098,0.37273833251365,0.13201149276525,0.0,0.09577304377086,0.9698962027282375,0.15600652292081899,0.8341314420314239,27815.3,0.6860197240700955,0.06313255506950016,0.12548857194626356,1.094523576847376e-05,0.3047708725674827,4.3565541591427224e-05,0.5388245596964094,0.0506561747728625,0.1378096446043537,0.1255144565526879,0.1690782491652213,0.3205549659617423,0.1719773250847718,7.52
Clearfield,94.26421362595325,2.75337880351345,0.5058767271537501,0.17365917499307,0.01132559836911,0.41149674074446,0.9261570986333778,0.13253466891500768,0.8398182870661667,25629.696969696968,0.7465079405028565,0.07686306093171923,0.13961945989479776,4.926458711084687e-06,0.2258390108503659,2.2605958365476172e-05,0.6241957223875283,0.0464223693151788,0.1353409005109101,0.071728789671054,0.18360053356152312,0.3577127324893664,0.1772959504693829,8.048387096774194
Clinton,96.03621365015954,1.65763054813354,0.77823030428804,0.16861656592907,0.01815870710005,0.26459830345793,0.957742094477159,0.14796752185530104,0.8208513839528911,26149.444444444445,0.6572414329814003,0.0566811071623129,0.13115774728267918,1.1323185283804851e-05,0.303559569663966,4.655207133944346e-05,0.544581191255128,0.0542685932190199,0.14791563983501502,0.14057433396456429,0.1628836026874885,0.3070637370619209,0.1630133077382031,6.285714285714286
Columbia,94.72396390885456,1.7066829790487799,1.15155222511087,0.061171432940810004,0.16057501146963998,0.66371004740786,0.9307539379109956,0.1309068664933476,0.8436458174032727,28966.85185185185,0.6696589692613549,0.0437375745526839,0.11055207218229086,4.157818906281412e-06,0.3175742013443093,2.92267327939315e-05,0.5964553285586983,0.0440893102920935,0.13257378804098469,0.1536779324055663,0.158434011316715,0.3167609726257834,0.16355711882550833,6.14
Crawford,95.16891177092884,1.4986952535439702,0.5183722406375599,0.03996520676117,0.02938618144203,0.49603874274161003,0.955662129440252,0.11950772268848296,0.8171709335402121,27006.253012048197,0.7011190257893128,0.06695347579754096,0.14121823353786114,4.845901844498105e-06,0.2722852512155591,2.026189308835354e-05,0.5691380537270948,0.0550814584949573,0.15251428168418069,0.0912852340315487,0.1615652255683286,0.3340033382702116,0.1789265815642851,7.461538461538462
Cumberland,86.82436865523864,4.06899760226174,4.64954450925892,0.10696377943989,0.015905394712250002,1.1781921133100302,0.9464027961683904,0.06669927272582678,0.818960821036475,37796.04761904762,0.7021993184538365,0.026224019531824707,0.09657755669279128,5.105579072850753e-07,0.3028682691547402,7.442202162894828e-06,0.6590390940349828,0.0535137005093702,0.14942323062424673,0.09486375041254591,0.1931590897342605,0.3242115894658568,0.15901418363573439,4.433333333333334
